uid	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
202388889	0.000253482495625	0.0066930290054	0.00861265256783	0.040899202599	0.000625726289443	0.4	0.125	0.75	0.22754491018
1392518336	0.000286220975592	0.00285136694873	0.0175327374483	0.01378603233	0.00248055779029	0.7	0.125	0.666666666667	0.952095808383
361208576	0.000152619090434	0.00196693097302	0.00712733609901	0.00219078870313	0.000625726289443	0.5	0.25	0.416666666667	0.77245508982
1535215357	0.000568590365306	0.00830823447456	0.170978753517	0.168775212791	0.00151962098865	0.7	0.0	0.666666666667	0.137724550898
4396196375	0.000299220077932	0.00327821828836	0.033039877973	0.0512790481109	0.00167605256101	0.9	0.0	0.833333333333	0.952095808383
17938477	7.96796828604e-05	0.00169716092637	0.00494802301922	0.015372002066	0.00125145257889	0.2	0.25	1.0	0.239520958084
174004739	8.90679234391e-05	0.00641642933732	0.0512411442667	0.254959035515	0.000603378921963	0.4	0.0	0.75	0.0
53783678	0.000181987432757	0.00367775114225	0.0355675537029	0.132752963133	0.00116206310897	0.3	0.25	0.5	0.700598802395
257662370	0.000184394673931	0.00469194992522	0.0174517863364	0.0180024845579	0.000648073656923	0.5	0.25	0.916666666667	0.526946107784
4795355113	6.71620287555e-05	0.00138641315112	0.000701273115408	0.000800665108858	0.000178778939841	1.0	0.25	0.916666666667	0.958083832335
1633971270	2.72018252665e-05	0.000198059021588	0.00696361474911	0.0113552361002	4.46947349602e-05	0.7	0.125	0.833333333333	0.479041916168
2803810119	1.3721274692e-05	0.00110639867232	0.00358913581505	0.0157790548312	6.70421024403e-05	0.8	0.0	0.583333333333	0.0
2244770588	0.011420674302	0.0828159895097	0.0113295174131	0.00380363928213	0.00525163135783	0.7	0.0	0.916666666667	0.766467065868
102071251	8.25683722693e-05	0.00267038198073	0.00514266951299	0.00131524124597	0.000491642084562	0.4	0.125	0.25	0.622754491018
3358825450	8.25683722693e-05	0.000478073500386	0.0041257780175	0.0203545583189	0.0	0.9	0.0	0.75	0.11377245509
555940842	0.000103752094601	0.00140007239399	0.0385245431947	0.0236417014038	0.000111736837401	0.6	0.0	0.75	0.353293413174
2469354073	2.07022740967e-05	0.000153666482267	0.000133705769086	3.45610838356e-05	0.000268168409761	0.8	0.125	1.0	0.0
360464656	9.48453022568e-05	0.00281380403084	0.0743877048904	0.0249761432519	0.000312863144722	0.5	0.125	0.75	0.880239520958
77243076	2.16651705663e-05	0.000645399225521	0.0111712534416	7.68024085235e-06	0.000223473674801	0.3	0.25	0.75	0.305389221557
1731752761	3.61086176105e-06	0.000140007239399	4.27494635852e-05	0.000117123672998	0.0	0.7	0.0	0.666666666667	0.215568862275
2330149164	0.000104474266953	0.00161179065844	0.0231783953307	0.00278216724876	0.000245821042281	0.8	0.0	0.666666666667	0.14371257485
2830586398	4.09230999585e-05	0.00135909466538	0.00107965134629	0.0013498023298	6.70421024403e-05	0.8	0.25	1.0	0.497005988024
443273019	5.29593058287e-05	0.00057710301118	0.00979872279156	0.00501327721637	2.23473674801e-05	0.5	0.125	0.666666666667	0.874251497006
2591381383	0.00142556822326	0.00602031129414	0.00301156327512	0.000345610838356	0.00806739966032	0.8	0.25	1.0	0.934131736527
1093716612	3.70715140801e-05	0.000840043436392	0.00272323178668	0.00153220805004	0.000156431572361	0.7	0.125	1.0	0.437125748503
36620392	0.000128546678693	0.00425143934272	0.0292633721686	0.00991135081996	0.000670421024403	0.3	0.125	0.833333333333	0.179640718563
3437626995	4.33303411326e-06	0.000143422050116	6.00311616303e-05	2.30407225571e-05	0.0	0.9	0.0	1.0	0.131736526946
387962514	0.000129509575163	0.0129318881854	0.00123791531786	0.00573137973607	0.000201126307321	0.5	0.125	1.0	0.706586826347
2938363689	1.58877917486e-05	0.000478073500386	0.000411122500862	1.15203612785e-05	6.70421024403e-05	0.8	0.0	0.666666666667	0.958083832335
